Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time,canonical_smiles,most_similar_index,tanimoto_similarity,compound_rank,Enamine catalog ID_q,Participant ID,rank,smiles,Enamine catalog ID_local,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,similar_to,similarity_scores,bad_apples
CC=1C=CC(=CC1C)N2N=NN=C2SCC(=O)NC=3C=CC=4OCCCOC4C3,CC=1C=CC(=CC1C)N2N=NN=C2SCC(=O)NC=3C=CC=4OCCCOC4C3,C-1972-11,Z66760382,HTS,12.7,2-3 weeks,Cc1ccc(-n2nnnc2SCC(=O)Nc2ccc3c(c2)OCCCO3)cc1C,10.0,1.0,11,Z66760382,1972,11,Cc1ccc(-n2nnnc2SCC(=O)Nc2ccc3c(c2)OCCCO3)cc1C,Z66760382,411.487,3.17124,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CC(SC1=NN=CN1C)C=2C=CC=C(NC(=O)C3(CC4(CN)C3)CO4)C2,CC(SC1=NN=CN1C)C=2C=CC=C(NC(=O)C3(CC4(CN)C3)CO4)C2,C-1972-12,Z4194910272,mRDB,125.2,5-6 weeks,CC(Sc1nncn1C)c1cccc(NC(=O)C23COC(CN)(C2)C3)c1,11.0,0.8433734939759040,12,Z4194910272,1972,12,C[C@H](Sc1nncn1C)c1cccc(NC(=O)[C@]23CO[C@](C[NH3+])(C2)C3)c1,Z4194910272,373.48001,1.0030479,y,wim pharmacophore,-999.0,1.0,,,,No pScore
O=C(NC=1C=CC=C(CN2CCCCC2)C1)C=3C=CC=C(CN4C=CN=N4)C3,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C=3C=CC=C(CN4C=CN=N4)C3,C-1972-13,Z2621742679,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCCC2)c1)c1cccc(Cn2ccnn2)c1,12.0,0.6590909090909090,13,Z2621742679,1972,13,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)c1cccc(Cn2ccnn2)c1,Z2621742679,375.47601,3.628351,y,wim pharmacophore,-999.0,1.0,,,,High pScore
CC1CCCN(CC=2C=CC(NC(=O)C=3C=CC=C(CN4C=CN=N4)C3)=CC2)C1,CC1CCCN(CC=2C=CC(NC(=O)C=3C=CC=C(CN4C=CN=N4)C3)=CC2)C1,C-1972-14,Z2622538469,sRDB,83.2,5-6 weeks,CC1CCCN(Cc2ccc(NC(=O)c3cccc(Cn4ccnn4)c3)cc2)C1,13.0,0.6161616161616160,14,Z2622538469,1972,14,C[C@@H]1CCC[N@H+](Cc2ccc(NC(=O)c3cccc(Cn4ccnn4)c3)cc2)C1,Z2622538469,389.50299,3.9933236,y,wim pharmacophore,-999.0,1.0,,,,High pScore
CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC(CN4CCCC4)=CC3)C2,CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC(CN4CCCC4)=CC3)C2,C-1972-15,Z8740153173,mRDB,125.2,5-6 weeks,CC(C)(c1cccc(NC(=O)c2ccc(CN3CCCC3)cc2)c1)c1nn[nH]n1,14.0,0.6818181818181820,15,PV-005418440569,1972,15,CC(C)(c1cccc(NC(=O)c2ccc(CN3CCCC3)cc2)c1)c1nnn[nH]1,PV-005418440569,390.491,2.3346574,y,wim pharmacophore,-999.0,1.0,,,,No pScore
O=C(NC=1C=CC=C(CN2CCCC2)C1)C=3C=CC=C(CC=4N=NNN4)C3,O=C(NC=1C=CC=C(CN2CCCC2)C1)C=3C=CC=C(CC=4N=NNN4)C3,C-1972-16,Z4412381053,mRDB,125.2,5-6 weeks,O=C(Nc1cccc(CN2CCCC2)c1)c1cccc(Cc2nn[nH]n2)c1,15.0,0.6781609195402300,16,Z4412381053,1972,16,O=C(Nc1cccc(CN2CCCC2)c1)c1cccc(Cc2nnn[nH]2)c1,Z4412381053,362.43701,1.2274364,y,wim pharmacophore,-999.0,1.0,,Z2911313247,0.91,High pScore
O=C(NC=1C=CC=C(CC=2N=NNN2)C1)C=3C=CC=C(CN4CCCC4)C3,O=C(NC=1C=CC=C(CC=2N=NNN2)C1)C=3C=CC=C(CN4CCCC4)C3,C-1972-17,Z2911313247,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(Cc2nn[nH]n2)c1)c1cccc(CN2CCCC2)c1,16.0,0.6744186046511630,17,Z2911313247,1972,17,O=C(Nc1cccc(Cc2nnn[nH]2)c1)c1cccc(CN2CCCC2)c1,Z2911313247,362.43701,1.8583512,y,wim pharmacophore,-999.0,1.0,,Z4412381053,0.91,High pScore
CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC=C(CN4CCCC4)C3)C2,CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC=C(CN4CCCC4)C3)C2,C-1972-18,Z8740153242,mRDB,125.2,5-6 weeks,CC(C)(c1cccc(NC(=O)c2cccc(CN3CCCC3)c2)c1)c1nn[nH]n1,17.0,0.6956521739130440,18,PV-004216514549,1972,18,CC(C)(c1cccc(NC(=O)c2cccc(CN3CCCC3)c2)c1)c1nnn[nH]1,PV-004216514549,390.491,2.9715157,y,wim pharmacophore,-999.0,1.0,,,,No pScore
CC=1C=C(C)N=C(C1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,CC=1C=C(C)N=C(C1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,C-1972-19,Z8740153266,mRDB,125.2,5-6 weeks,Cc1cc(C)nc(C(=O)Nc2cccc(C(C)(C)c3nn[nH]n3)c2)c1,18.0,0.65,19,PV-002939864165,1972,19,Cc1cc(C)nc(C(=O)Nc2cccc(C(C)(C)c3nnn[nH]3)c2)c1,PV-002939864165,336.39899,3.9555924,y,wim pharmacophore,-999.0,1.0,,,,No pScore
CC=1C=C(N=C(C)N1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,CC=1C=C(N=C(C)N1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,C-1972-20,Z8740153286,mRDB,125.2,5-6 weeks,Cc1cc(C(=O)Nc2cccc(C(C)(C)c3nn[nH]n3)c2)nc(C)n1,19.0,0.6455696202531650,20,PV-003467937726,1972,20,Cc1cc(C(=O)Nc2cccc(C(C)(C)c3nnn[nH]3)c2)nc(C)n1,PV-003467937726,337.38699,3.2760222,y,wim pharmacophore,-999.0,1.0,,,,No pScore
