Participant ID,rank,smiles,Enamine catalog ID,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,Vina Score,Pharmaco score,smiles_match_experimental,similar_to,similarity_scores,bad_apples
1972,,CC1CC(CNC(=O)CNC(=O)Cc2cccc3ccccc23)CCO1,Z1576336781,354.45,2.4298,,vina + fingerprints,-999.0,1.0,,-9.2,,0.0,,,High pScore
1972,,C[NH+]1CCC2(CC1)CC(NC(=O)c1ccc3ncsc3c1)c1ccccc1O2,Z52238270,394.52,2.5972,,vina + fingerprints,-999.0,1.0,,-9.7,,0.0,Z52238270,1.0,High pScore
1972,,O=C(CSCC(=O)Nc1ccc(OCc2ccccc2)cc1)Nc1ccc(OCc2ccccc2)cc1,Z57046902,512.631,6.15500000000001,,vina + MMGBSA,-77.25,,,-9.4,,0.0,,,High pScore
1972,,Cc1ccc(NS(=O)(=O)c2cc(NC(=O)C(c3ccccc3)c3ccccc3)ccc2Cl)c(C)c1,Z26525003,505.039,6.52824000000001,,vina + MMGBSA,-64.21,,,-9.7,,0.0,,,High pScore
1972,,CS(=O)(=O)c1ccc2nc(NC(=O)C(c3ccccc3)c3ccccc3)sc2c1,Z28180098,422.531,4.4704,,vina + MMGBSA,-61.17,,,-10.0,,0.0,,,High pScore
1972,,CCOc1ccc2nc(NC(=O)C(c3ccccc3)c3ccccc3)sc2c1,Z30206139,388.492,5.4656,,vina + MMGBSA,-60.37,,,-9.3,,0.0,,,High pScore
1972,,CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)COc1ccccc1Cc1ccccc1,Z30085309,413.477,3.5513,,vina + MMGBSA,-59.85,,,-9.3,,0.0,,,High pScore
1972,,CCOc1ccccc1-n1c(SCC(=O)NC(c2ccccc2)c2ccccc2)nc2ccccc2c1=O,Z19413890,521.642,5.78230000000001,,vina + MMGBSA,-59.28,,,-9.3,,0.0,,,High pScore
1972,,O=C(NC(c1ccccc1)c1ccccc1)c1ccc(=O)n(Cc2ccccc2)n1,Z26724154,395.462,3.811,,vina + MMGBSA,-58.8,,,-9.2,,0.0,,,High pScore
1972,,C[NH+]1CCC2(CC1)CC(NC(=O)c1ccc3ncsc3c1)c1ccccc1O2,Z52238270,394.52,2.5972,,vina + MMGBSA,-57.16,,,-9.7,,0.0,Z52238270,1.0,High pScore
1972,,NC(=O)c1nn(CC(=O)Nc2ccc(Oc3ccc(Br)cc3)cc2)c(=O)c2ccccc12,Z64437148,493.317,3.6889,,vina + MMGBSA,-56.89,,,-10.0,,0.0,,,High pScore
1972,,Cc1cccc(NC(=O)NCC(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)c1,Z1023236172,437.887,4.05592,,vina + MMGBSA,-56.07,,,-9.5,,0.0,,,High pScore
1972,,Cc1cc(CSc2ncccc2C(=O)Nc2ccc(Sc3ccccn3)c(Cl)c2)no1,Z1020883660,468.991,6.12222,,vina + MMGBSA,-55.9,,,-9.3,,0.0,,,High pScore
1972,,Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1NS(=O)(=O)c1ccccc1,Z421522344,416.502,5.20132,,vina + MMGBSA,-55.25,,,-9.4,,0.0,,,High pScore
1972,,Cn1nnnc1-c1cccc(NC(=O)C(c2ccccc2)c2ccccc2)c1,Z220413862,369.428,3.6477,,vina + MMGBSA,-54.99,,,-9.4,,0.0,,,High pScore
1972,,Cc1csc(Sc2ccc(NC(=O)NCc3ccccc3C[NH+]3CCCCCCC3)cc2)n1,m_2708baa____4278128____24001578,481.711,5.27342000000001,,infinisee patent1 + MMGBSA,-69.69,,,,,,,,High pScore
1972,,C[C@@H]1CCCC[N@@H+]1Cc1ccccc1CNC(=O)Nc1ccc(Oc2nccs2)c(Cl)c1,m_2708baa____907038____24022166,472.034,4.8678,,infinisee patent1 + MMGBSA,-68.56,,,,,,,,High pScore
1972,,Cc1csc(Sc2ccc(NC(=O)NCc3ccccc3C[NH+]3CCCCCC3)cc2Cl)n1,m_2708baa____4833158____24020374,502.129,5.53672000000001,,infinisee patent1 + MMGBSA,-68.39,,,,,,,,High pScore
