Participant ID,rank,smiles,Enamine catalog ID,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,Vina Score,Pharmaco score
1972,,CN1CC[NH+](Cc2ccc(NC(=O)Nc3c(F)cccc3N3CCCC3)cc2C(F)(F)F)CC1,m_2430bbb____22522640____22586956,481.535,2.002,,infinisee REAL + MMGBSA  + amine,-49.85,,,,
1972,,CCCC[C@@H](NC(=O)NCc1ccc(C[NH+]2CCC(C)CC2)cc1)c1ccc(OC)cc1,m_2708baa____907032____3219064,438.632,4.241,,infinisee REAL + MMGBSA  + amine,-42.5,,,,
1972,,CC(C)CN(C[C@H](O)c1ccc(F)cc1)C(=O)NCc1cccc(C[NH+]2CCCCCC2)c1,m_2708baa____2307424____6505982,456.622,3.686,,infinisee REAL + MMGBSA  + amine,-32.1,,,,
1972,,CCN(Cc1cccc(NC(=O)Nc2ccc(C[NH+]3CCCC3)c(C(F)(F)F)c2)c1)C(C)=O,m_2430bbb____22525090____22585254,463.521,3.897,,infinisee REAL + MMGBSA  + amine,-62.97,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCCC2)cc1)N(Cc1cccc(F)c1)C1CCC1,m_2708baa____4433148____13162176,438.607,4.439,,infinisee REAL + MMGBSA  + amine,-49.0,,,,
1972,,O=C(Nc1ccc(Cl)c(C[NH+]2CCCCC2)c1)C(=O)Nc1ccccc1N1CCCC1,m_2718cba____9148690____867622,441.98,3.086,,infinisee REAL + MMGBSA  + amine,-47.72,,,,
1972,,O=C(Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1)Nc1c(F)cccc1N1CCCC1,m_2430bbb____22522640____22586828,451.485,4.267,,infinisee REAL + MMGBSA  + amine,-53.39,,,,
1972,,CC[C@@H](C)N(CCc1ccccc1F)C(=O)NCc1ccc(C[NH+]2CCC(C)CC2)cc1,m_2708caa____907032____2252200,440.623,4.193,,infinisee REAL + MMGBSA  + amine,-45.56,,,,
1972,,CC(C)CN(C(=O)NCc1ccc(C[NH+]2CCC(C)CC2)cc1)[C@H](C)c1ccccc1Cl,m_2708caa____907032____9967198,457.078,5.084,,infinisee REAL + MMGBSA  + amine,-54.01,,,,
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)N(C3CC3)[C@H](C)c3cccc(C(F)(F)F)c3)cc2)CC1,m_2708caa____907032____6914346,474.588,4.955,,infinisee REAL + MMGBSA  + amine,-40.13,,,,
