Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time,canonical_smiles,most_similar_index,tanimoto_similarity,compound_rank,Enamine catalog ID_q,Participant ID,rank,smiles,Enamine catalog ID_local,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,similar_to,similarity_scores,bad_apples
CC=1C=CC(=CC1)C2=NN=C(O2)C=3C=CC(=CC3)C(=O)NCC=4C=CC=CC4CN5CCCC5,CC=1C=CC(=CC1)C2=NN=C(O2)C=3C=CC(=CC3)C(=O)NCC=4C=CC=CC4CN5CCCC5,C-1972-97,Z147088942,HTS,12.7,2-3 weeks,Cc1ccc(-c2nnc(-c3ccc(C(=O)NCc4ccccc4CN4CCCC4)cc3)o2)cc1,96.0,0.6463414634146342,97,Z147088942,1972,97,Cc1ccc(-c2nnc(-c3ccc(C(=O)NCc4ccccc4C[NH+]4CCCC4)cc3)o2)cc1,Z147088942,453.566,3.82072,y,vina + MMGBSA,-62.14,,,,,No pScore
C(NC=1N=CN=C2N(N=CC12)C=3N=CC=CN3)C(C=4C=CC=CC4)C=5C=CC=CC5,C(NC=1N=CN=C2N(N=CC12)C=3N=CC=CN3)C(C=4C=CC=CC4)C=5C=CC=CC5,C-1972-118,Z1502689706,HTS,12.7,2-3 weeks,c1ccc(C(CNc2ncnc3c2cnn3-c2ncccn2)c2ccccc2)cc1,117.0,1.0,118,Z1502689706,1972,118,c1ccc(C(CNc2ncnc3c2cnn3-c2ncccn2)c2ccccc2)cc1,Z1502689706,393.454,3.8495,y,vina + MMGBSA,-60.49,,,,,No pScore
FC=1C=CC(=CC1)C2=CN=C(CN3CCCC3CN4C=NC=5C=CC=CC45)O2,FC=1C=CC(=CC1)C2=CN=C(CN3CCCC3CN4C=NC=5C=CC=CC45)O2,C-1972-99,Z1523151619,HTS,12.7,2-3 weeks,Fc1ccc(-c2cnc(CN3CCCC3Cn3cnc4ccccc43)o2)cc1,98.0,0.5588235294117647,99,Z1523151619,1972,99,Fc1ccc(-c2cnc(C[NH+]3CCCC3Cn3cnc4ccccc43)o2)cc1,Z1523151619,377.443,3.0779,y,vina + MMGBSA,-61.7,,,,,No pScore
O=C(CSC1=NN=C(O1)C2=NN(CC=3C=CC=CC3)C(=O)C=4C=CC=CC24)N5CCNC5=O,O=C(CSC1=NN=C(O1)C2=NN(CC=3C=CC=CC3)C(=O)C=4C=CC=CC24)N5CCNC5=O,C-1972-137,Z15434645,HTS,12.7,2-3 weeks,O=C(CSc1nnc(-c2nn(Cc3ccccc3)c(=O)c3ccccc23)o1)N1CCNC1=O,136.0,0.6836734693877551,137,Z15434645,1972,137,O=C(CSc1nnc(-c2nn(Cc3ccccc3)c(=O)c3ccccc23)o1)n1cc[nH]c1=O,Z15434645,460.475,2.4171,y,vina + MMGBSA,-59.13,,,,,No pScore
CC(SC1=NN=C(O1)C=2C=C(N=C3C=CC=CC23)C4=CC=CS4)C(=O)C5=C(N)N(C)C(=O)N(C)C5=O,CC(SC1=NN=C(O1)C=2C=C(N=C3C=CC=CC23)C4=CC=CS4)C(=O)C5=C(N)N(C)C(=O)N(C)C5=O,C-1972-120,Z15436840,HTS,12.7,2-3 weeks,CC(Sc1nnc(-c2cc(-c3cccs3)nc3ccccc23)o1)C(=O)c1c(N)n(C)c(=O)n(C)c1=O,119.0,1.0,120,Z15436840,1972,120,CC(Sc1nnc(-c2cc(-c3cccs3)nc3ccccc23)o1)C(=O)c1c(N)n(C)c(=O)n(C)c1=O,Z15436840,520.596,3.3564,y,vina + MMGBSA,-60.43,,,,,No pScore
O=C(NCC1=NC(=CN1)C=2C=CC=C(C#N)C2)C3CCC4CCCCC4C3,O=C(NCC1=NC(=CN1)C=2C=CC=C(C#N)C2)C3CCC4CCCCC4C3,C-1972-03,Z1549121910,HTS,12.7,2-3 weeks,N#Cc1cccc(-c2c[nH]c(CNC(=O)C3CCC4CCCCC4C3)n2)c1,2.0,1.0,3,Z1549121910,1972,3,N#Cc1cccc(-c2c[nH]c(CNC(=O)C3CCC4CCCCC4C3)n2)c1,Z1549121910,362.477,4.17108,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CC1(C)N(C(=O)COC(=O)C2=NN(CC=3C=CC=CC3)C(=O)C=4C=CC=CC24)C=5C=CC=CC5NC1=O,CC1(C)N(C(=O)COC(=O)C2=NN(CC=3C=CC=CC3)C(=O)C=4C=CC=CC24)C=5C=CC=CC5NC1=O,C-1972-69,Z15497168,HTS,12.7,2-3 weeks,CC1(C)C(=O)Nc2ccccc2N1C(=O)COC(=O)c1nn(Cc2ccccc2)c(=O)c2ccccc12,68.0,1.0,69,Z15497168,1972,69,CC1(C)C(=O)Nc2ccccc2N1C(=O)COC(=O)c1nn(Cc2ccccc2)c(=O)c2ccccc12,Z15497168,496.523,3.3655,y,vina + MMGBSA,-67.24,,,,,No pScore
NC(=O)C=1C=CC(N2CCCC2)=C(NC(=O)C=3C=CC=4NC(=O)CCC4C3)C1,NC(=O)C=1C=CC(N2CCCC2)=C(NC(=O)C=3C=CC=4NC(=O)CCC4C3)C1,C-1972-139,Z165037048,HTS,12.7,2-3 weeks,NC(=O)c1ccc(N2CCCC2)c(NC(=O)c2ccc3c(c2)CCC(=O)N3)c1,138.0,1.0,139,Z165037048,1972,139,NC(=O)c1ccc(N2CCCC2)c(NC(=O)c2ccc3c(c2)CCC(=O)N3)c1,Z165037048,378.432,2.5227,y,vina + MMGBSA,-58.98,,,,,No pScore
CC1CN(CC(C)O1)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC(C3=NC=CN3C)C=4C=CC=C(F)C4,CC1CN(CC(C)O1)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC(C3=NC=CN3C)C=4C=CC=C(F)C4,C-1972-104,Z167565772,HTS,12.7,2-3 weeks,CC1CN(S(=O)(=O)c2cccc(C(=O)NC(c3cccc(F)c3)c3nccn3C)c2)CC(C)O1,103.0,1.0,104,Z167565772,1972,104,CC1CN(S(=O)(=O)c2cccc(C(=O)NC(c3cccc(F)c3)c3nccn3C)c2)CC(C)O1,Z167565772,486.569,2.8765,y,vina + MMGBSA,-61.19,,,,,No pScore
CC1CN(CC(C)O1)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC(C3=NC=CN3C)C=4C=CC=CC4F,CC1CN(CC(C)O1)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC(C3=NC=CN3C)C=4C=CC=CC4F,C-1972-132,Z167572918,HTS,12.7,2-3 weeks,CC1CN(S(=O)(=O)c2cccc(C(=O)NC(c3ccccc3F)c3nccn3C)c2)CC(C)O1,131.0,1.0,132,Z167572918,1972,132,CC1CN(S(=O)(=O)c2cccc(C(=O)NC(c3ccccc3F)c3nccn3C)c2)CC(C)O1,Z167572918,486.569,2.8765,y,vina + MMGBSA,-59.63,,,,,No pScore
CN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC=C(NC(=O)COC=3C=CC=C(C3)N4C=NN=N4)C2,CN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC=C(NC(=O)COC=3C=CC=C(C3)N4C=NN=N4)C2,C-1972-110,Z16884331,HTS,12.7,2-3 weeks,CN(c1ccccc1)S(=O)(=O)c1cccc(NC(=O)COc2cccc(-n3cnnn3)c2)c1,109.0,1.0,110,Z16884331,1972,110,CN(c1ccccc1)S(=O)(=O)c1cccc(NC(=O)COc2cccc(-n3cnnn3)c2)c1,Z16884331,464.507,2.5049,y,vina + MMGBSA,-60.81,,,,,No pScore
CN1CCN(CC1)C(C2=NC(=NO2)C=3C=CC(OC=4C=CC(F)=CC4)=NC3)C=5C=CC=CC5,CN1CCN(CC1)C(C2=NC(=NO2)C=3C=CC(OC=4C=CC(F)=CC4)=NC3)C=5C=CC=CC5,C-1972-83,Z1908278290,HTS,12.7,2-3 weeks,CN1CCN(C(c2ccccc2)c2nc(-c3ccc(Oc4ccc(F)cc4)nc3)no2)CC1,82.0,0.7752808988764045,83,Z1908278290,1972,83,C[NH+]1CCN(C(c2ccccc2)c2nc(-c3ccc(Oc4ccc(F)cc4)nc3)no2)CC1,Z1908278290,446.506,2.9827,y,vina + MMGBSA,-64.27,,,,,No pScore
CN1CCC=2N=C(C=CC=3C=CC=C(OCC=4C=CC=C(C#N)C4)C3)NC(=O)C2C1,CN1CCC=2N=C(C=CC=3C=CC=C(OCC=4C=CC=C(C#N)C4)C3)NC(=O)C2C1,C-1972-81,Z2026306780,HTS,12.7,2-3 weeks,CN1CCc2nc(C=Cc3cccc(OCc4cccc(C#N)c4)c3)[nH]c(=O)c2C1,80.0,0.6857142857142857,81,Z2026306780,1972,81,C[NH+]1CCc2nc(C=Cc3cccc(OCc4cccc(C#N)c4)c3)[nH]c(=O)c2C1,Z2026306780,399.474,1.96178,y,vina + MMGBSA,-64.55,,,,,No pScore
NCC1CCCN(C1)C(=O)C=2C=CC=C(OCC3=CSC=N3)C2,NCC1CCCN(C1)C(=O)C=2C=CC=C(OCC3=CSC=N3)C2,C-1972-22,Z2301730404,sRDB,83.2,5-6 weeks,NCC1CCCN(C(=O)c2cccc(OCc3cscn3)c2)C1,21.0,0.8,22,Z2301730404,1972,22,[NH3+]C[C@@H]1CCCN(C(=O)c2cccc(OCc3cscn3)c2)C1,Z2301730404,331.42999,1.29164,y,wim pharmacophore,-999.0,1.0,,,,No pScore
CN1C=CN=C1COC=2C=CC(=CC2)C(=O)N3CCCC(CN)C3,CN1C=CN=C1COC=2C=CC(=CC2)C(=O)N3CCCC(CN)C3,C-1972-24,Z2440037276,sRDB,83.2,5-6 weeks,Cn1ccnc1COc1ccc(C(=O)N2CCCC(CN)C2)cc1,23.0,0.7972972972972973,24,Z2440037276,1972,24,Cn1ccnc1COc1ccc(C(=O)N2CCC[C@H](C[NH3+])C2)cc1,Z2440037276,328.41599,0.72974783,y,wim pharmacophore,-999.0,1.0,,,,No pScore
CC1=NC(COC=2C=CC=C(C2)C(=O)N3CCCC(CN)C3)=NO1,CC1=NC(COC=2C=CC=C(C2)C(=O)N3CCCC(CN)C3)=NO1,C-1972-32,Z2440040050,sRDB,83.2,5-6 weeks,Cc1nc(COc2cccc(C(=O)N3CCCC(CN)C3)c2)no1,31.0,0.8072289156626506,32,Z2440040050,1972,32,Cc1nc(COc2cccc(C(=O)N3CCC[C@H](C[NH3+])C3)c2)no1,Z2440040050,330.388,0.958534,y,wim pharmacophore,-999.0,1.0,,Z3144506726,0.89,No pScore
O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CCCCC3)N4C=NN=N4,O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CCCCC3)N4C=NN=N4,C-1972-29,Z2473316968,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCC2)c1)C1(n2cnnn2)CCCCC1,28.0,0.6428571428571429,29,Z2473316968,1972,29,O=C(Nc1cccc(C[NH+]2CCCC2)c1)C1(n2cnnn2)CCCCC1,Z2473316968,354.45801,2.6396089,y,wim pharmacophore,-999.0,1.0,,Z2473323915|Z2621742909|Z2621693915,0.96|0.86|0.89,No pScore
O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CCCCC3)N4C=NN=N4,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CCCCC3)N4C=NN=N4,C-1972-25,Z2473323915,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCCC2)c1)C1(n2cnnn2)CCCCC1,28.0,0.6352941176470588,25,Z2473323915,1972,25,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)C1(n2cnnn2)CCCCC1,Z2473323915,368.48499,3.0841775,y,wim pharmacophore,-999.0,1.0,,Z2473316968|Z2621742909|Z2621693915,0.96|0.9|0.85,No pScore
O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CC3)N4C=NN=N4,O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CC3)N4C=NN=N4,C-1972-33,Z2621693915,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCC2)c1)C1(n2cnnn2)CC1,32.0,0.6282051282051282,33,Z2621693915,1972,33,O=C(Nc1cccc(C[NH+]2CCCC2)c1)C1(n2cnnn2)CC1,Z2621693915,312.37701,1.3059028,y,wim pharmacophore,-999.0,1.0,,Z2473323915|Z2621693769|Z2473316968|Z2621742909,0.85|0.85|0.89|0.94,No pScore
O=C(NC=1C=CC=C(CN2CCCCC2)C1)C=3C=CC=C(CN4C=CN=N4)C3,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C=3C=CC=C(CN4C=CN=N4)C3,C-1972-13,Z2621742679,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCCC2)c1)c1cccc(Cn2ccnn2)c1,12.0,0.6590909090909091,13,Z2621742679,1972,13,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)c1cccc(Cn2ccnn2)c1,Z2621742679,375.47601,3.628351,y,wim pharmacophore,-999.0,1.0,,,,High pScore
O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CC3)N4C=NN=N4,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CC3)N4C=NN=N4,C-1972-31,Z2621742909,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCCC2)c1)C1(n2cnnn2)CC1,30.0,0.6172839506172839,31,Z2621742909,1972,31,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)C1(n2cnnn2)CC1,Z2621742909,326.40399,1.7504715,y,wim pharmacophore,-999.0,1.0,,Z2473323915|Z2621693769|Z2473316968|Z2621693915,0.9|0.8|0.86|0.94,No pScore
CC1CCCN(CC=2C=CC(NC(=O)C=3C=CC=C(CN4C=CN=N4)C3)=CC2)C1,CC1CCCN(CC=2C=CC(NC(=O)C=3C=CC=C(CN4C=CN=N4)C3)=CC2)C1,C-1972-14,Z2622538469,sRDB,83.2,5-6 weeks,CC1CCCN(Cc2ccc(NC(=O)c3cccc(Cn4ccnn4)c3)cc2)C1,13.0,0.6161616161616161,14,Z2622538469,1972,14,C[C@@H]1CCC[N@H+](Cc2ccc(NC(=O)c3cccc(Cn4ccnn4)c3)cc2)C1,Z2622538469,389.50299,3.9933236,y,wim pharmacophore,-999.0,1.0,,,,High pScore
CC(C1CC2CCC1C2)N3C(=O)N(CC(=O)NC=4C=CC=5OCCOC5C4)C(=O)C3=O,CC(C1CC2CCC1C2)N3C(=O)N(CC(=O)NC=4C=CC=5OCCOC5C4)C(=O)C3=O,C-1972-136,Z26303988,HTS,12.7,2-3 weeks,CC(C1CC2CCC1C2)N1C(=O)C(=O)N(CC(=O)Nc2ccc3c(c2)OCCO3)C1=O,135.0,1.0,136,Z26303988,1972,136,CC(C1CC2CCC1C2)N1C(=O)C(=O)N(CC(=O)Nc2ccc3c(c2)OCCO3)C1=O,Z26303988,427.457,2.0118,y,vina + MMGBSA,-59.44,,,,,No pScore
CCN(CC)CCNC(=O)C=1C=CC(NC(=O)C2C=3C=CC=CC3OC=4C=CC=CC24)=CC1,CCN(CC)CCNC(=O)C=1C=CC(NC(=O)C2C=3C=CC=CC3OC=4C=CC=CC24)=CC1,C-1972-64,Z26393337,HTS,12.7,2-3 weeks,CCN(CC)CCNC(=O)c1ccc(NC(=O)C2c3ccccc3Oc3ccccc32)cc1,63.0,0.7012987012987013,64,Z26393337,1972,64,CC[NH+](CC)CCNC(=O)c1ccc(NC(=O)C2c3ccccc3Oc3ccccc32)cc1,Z26393337,444.555,3.2174,y,vina + MMGBSA,-67.74,,,,,No pScore
CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=C(C=CC2C)C(=O)NCC(N3CCCCC3)C4=CC=CO4,CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=C(C=CC2C)C(=O)NCC(N3CCCCC3)C4=CC=CO4,C-1972-71,Z26996491,HTS,12.7,2-3 weeks,CCN(c1ccccc1)S(=O)(=O)c1cc(C(=O)NCC(c2ccco2)N2CCCCC2)ccc1C,70.0,0.6504854368932039,71,Z26996491,1972,71,CCN(c1ccccc1)S(=O)(=O)c1cc(C(=O)NCC(c2ccco2)[NH+]2CCCCC2)ccc1C,Z26996491,496.653,3.34312,y,vina + MMGBSA,-66.91,,,,,No pScore
CC=1C=CC(C)=C(C1)N2C(=O)C=3C=CC(=CC3C2=O)C(=O)NC=4C=CC=CC4C(=O)NC5CC5,CC=1C=CC(C)=C(C1)N2C(=O)C=3C=CC(=CC3C2=O)C(=O)NC=4C=CC=CC4C(=O)NC5CC5,C-1972-114,Z27609293,HTS,12.7,2-3 weeks,Cc1ccc(C)c(N2C(=O)c3ccc(C(=O)Nc4ccccc4C(=O)NC4CC4)cc3C2=O)c1,113.0,1.0,114,Z27609293,1972,114,Cc1ccc(C)c(N2C(=O)c3ccc(C(=O)Nc4ccccc4C(=O)NC4CC4)cc3C2=O)c1,Z27609293,453.498,4.24854,y,vina + MMGBSA,-60.65,,,,,No pScore
CC=1C=C(C)C=C(C1)C(=O)NC=2C=C(C=CC2OCC(F)(F)F)S(=O)(=O)N3CCCC3,CC=1C=C(C)C=C(C1)C(=O)NC=2C=C(C=CC2OCC(F)(F)F)S(=O)(=O)N3CCCC3,C-1972-02,Z28425221,HTS,12.7,2-3 weeks,Cc1cc(C)cc(C(=O)Nc2cc(S(=O)(=O)N3CCCC3)ccc2OCC(F)(F)F)c1,1.0,1.0,2,Z28425221,1972,2,Cc1cc(C)cc(C(=O)Nc2cc(S(=O)(=O)N3CCCC3)ccc2OCC(F)(F)F)c1,Z28425221,456.486,4.28134,y,vina + fingerprints,-999.0,1.0,,,,No pScore
COC=1C=CC=CC1C(CNC(=O)C=2C=CC=3C(=O)N4CCCCCC4=NC3C2)N5CCCC5,COC=1C=CC=CC1C(CNC(=O)C=2C=CC=3C(=O)N4CCCCCC4=NC3C2)N5CCCC5,C-1972-73,Z28475766,HTS,12.7,2-3 weeks,COc1ccccc1C(CNC(=O)c1ccc2c(=O)n3c(nc2c1)CCCCC3)N1CCCC1,72.0,0.7047619047619048,73,Z28475766,1972,73,COc1ccccc1C(CNC(=O)c1ccc2c(=O)n3c(nc2c1)CCCCC3)[NH+]1CCCC1,Z28475766,461.586,2.2813,y,vina + MMGBSA,-66.43,,,,,No pScore
CC1=NOC=2N=CC(=CC12)C(=O)N3CCN(CC3)C(=O)C(C=4C=CC=CC4)C=5C=CC=CC5,CC1=NOC=2N=CC(=CC12)C(=O)N3CCN(CC3)C(=O)C(C=4C=CC=CC4)C=5C=CC=CC5,C-1972-131,Z289492786,HTS,12.7,2-3 weeks,Cc1noc2ncc(C(=O)N3CCN(C(=O)C(c4ccccc4)c4ccccc4)CC3)cc12,130.0,1.0,131,Z289492786,1972,131,Cc1noc2ncc(C(=O)N3CCN(C(=O)C(c4ccccc4)c4ccccc4)CC3)cc12,Z289492786,440.503,3.64772,y,vina + MMGBSA,-59.7,,,,,No pScore
CC=1N=C(NC(=O)CCCC2=NC=3C=CC=CC3C(=O)N2)SC1CC=4C=CC=5OCOC5C4,CC=1N=C(NC(=O)CCCC2=NC=3C=CC=CC3C(=O)N2)SC1CC=4C=CC=5OCOC5C4,C-1972-76,Z29000042,HTS,12.7,2-3 weeks,Cc1nc(NC(=O)CCCc2nc3ccccc3c(=O)[nH]2)sc1Cc1ccc2c(c1)OCO2,75.0,1.0,76,Z29000042,1972,76,Cc1nc(NC(=O)CCCc2nc3ccccc3c(=O)[nH]2)sc1Cc1ccc2c(c1)OCO2,Z29000042,462.531,3.96892,y,vina + MMGBSA,-65.42,,,,,No pScore
O=C(NC=1C=CC=C(CC=2N=NNN2)C1)C=3C=CC=C(CN4CCCC4)C3,O=C(NC=1C=CC=C(CC=2N=NNN2)C1)C=3C=CC=C(CN4CCCC4)C3,C-1972-17,Z2911313247,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(Cc2nn[nH]n2)c1)c1cccc(CN2CCCC2)c1,16.0,0.6744186046511628,17,Z2911313247,1972,17,O=C(Nc1cccc(Cc2nnn[nH]2)c1)c1cccc(CN2CCCC2)c1,Z2911313247,362.43701,1.8583512,y,wim pharmacophore,-999.0,1.0,,Z4412381053,0.91,High pScore
