Participant ID,rank,smiles,Enamine catalog ID,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,Vina Score,Pharmaco score
1972,,[NH3+]Cc1cc(NC(=O)c2ccc(CO)nc2)cc(C(F)(F)F)c1,PV-003509333655,326.298,1.5868999999999998,,classifier REAL + MMGBSA  + amine,-44.85,,,,
1972,,C[C@@H](NC(=O)c1cccc(C2(F)C[NH2+]C2)c1)c1cccnc1F,Z4422139754,318.3469999999999,1.4535,,classifier REAL + MMGBSA  + amine,-50.73,,,,
1972,,C[C@@H]([NH3+])c1cccc(NC(=O)c2cc(C3CC3)nc(C(F)(F)F)c2)c1,Z4194497010,350.3639999999999,3.533000000000002,,classifier REAL + MMGBSA  + amine,-42.29,,,,
1972,,CC(F)(F)c1cccc(NC(=O)c2ccnc(C3C[NH2+]C3)n2)c1,Z4910359197,319.3350000000001,1.5011999999999996,,classifier REAL + MMGBSA  + amine,-43.97,,,,
1972,,CC(C)c1ccc(F)c(NC(=O)c2cnc3c(c2)C[NH2+]C3)c1,Z6372035691,300.357,2.1734,,classifier REAL + MMGBSA  + amine,-45.54,,,,
1972,,[NH3+][C@@H]1Cc2ccc(C(=O)Nc3cc(C(F)F)ccc3F)cc2C1,PV-003584314797,321.32200000000006,2.7247000000000003,,classifier REAL + MMGBSA  + amine,-42.49,,,,
1972,,C[C@@H](O)c1cccc(NC(=O)c2cccc(C3(F)C[NH2+]C3)c2)c1,Z4210118504,315.36800000000005,1.7340000000000002,,classifier REAL + MMGBSA  + amine,-52.33,,,,
1972,,CC(F)(F)c1cncc(C(=O)Nc2cc(C[NH3+])cc(C(F)(F)F)c2)c1,Z3792671948,360.306,3.2063000000000006,,classifier REAL + MMGBSA  + amine,-50.63,,,,
1972,,O=C(Nc1cccc(C2(CO)CC2)c1)c1cccc(C2(F)C[NH2+]C2)c1,Z6408882039,341.4060000000001,1.7046,,classifier REAL + MMGBSA  + amine,-64.21,,,,
1972,,O=C(Nc1cccc([C@@H]2CC2(F)F)c1)c1cccc(C2(F)C[NH2+]C2)c1,Z4209097836,347.3600000000001,2.803300000000001,,classifier REAL + MMGBSA  + amine,-48.28,,,,
1972,,Cc1cc(C[NH3+])cc(NC(=O)c2cncc(C(F)(F)C(F)(F)F)c2)c1,Z6071885402,360.306,3.0383200000000006,,classifier REAL + MMGBSA  + amine,-47.26,,,,
1972,,[NH3+]C[C@@H]1CCn2c(C(=O)Nc3cccc([C@@H]4CC4(F)F)c3)cnc2C1,PV-007763345107,347.38900000000007,2.0623,,classifier REAL + MMGBSA  + amine,-46.33,,,,
1972,,C[C@H]([NH3+])c1csc(NC(=O)c2cccc([C@@H]3CC(F)(F)C3(F)F)c2)n1,Z4947624086,374.383,3.4562000000000017,,classifier REAL + MMGBSA  + amine,-42.92,,,,
1972,,CCc1ccc(C)c(NC(=O)c2cccc(C3(C[NH3+])CC3)c2)c1,Z6423909863,309.43300000000005,3.0832200000000007,,classifier REAL + MMGBSA  + amine,-47.17,,,,
1972,,C[C@@H]([NH3+])c1ccc(NC(=O)CC2(c3ccccc3)C[NH2+]C2)cc1,Z5059867362,311.42900000000003,0.8331000000000003,,classifier REAL + MMGBSA  + amine,-40.73,,,,
1972,,[NH3+]Cc1cccc(C(=O)Nc2cc(CO)cc(C(F)(F)F)c2)n1,PV-007482460872,326.298,1.5868999999999995,,classifier REAL + MMGBSA  + amine,-40.62,,,,
1972,,COc1ccc([C@H](C)[NH3+])cc1C(=O)Nc1cscc1C(F)(F)F,Z6372105987,345.36600000000004,3.3307,,classifier REAL + MMGBSA  + amine,-41.37,,,,
1972,,Cn1cc(NC(=O)c2cccc(C3(F)C[NH2+]C3)c2)cc1C(N)=O,Z4204405212,317.34400000000005,0.11810000000000087,,classifier REAL + MMGBSA  + amine,-40.56,,,,
1972,,C[C@@H]([NH3+])c1cccc(NC(=O)c2cccc(C3(F)C[NH2+]C3)c2)c1,Z4210297065,315.39200000000005,0.9836000000000006,,classifier REAL + MMGBSA  + amine,-51.25,,,,
1972,,C[C@H](O)c1cccc(NC(=O)c2cccc(C3(C[NH3+])CC3)c2)c1,PV-003223205824,311.405,2.2657,,classifier REAL + MMGBSA  + amine,-52.58,,,,
1972,,CC(C)c1cncc(NC(=O)c2cccc(C3(F)C[NH2+]C3)c2)c1,Z4208058128,314.38400000000007,2.1991000000000005,,classifier REAL + MMGBSA  + amine,-48.79,,,,
1972,,COc1ccc([C@H](C)[NH3+])cc1C(=O)Nc1cc(C(C)(F)F)ccc1F,Z6372078090,353.364,3.5012000000000008,,classifier REAL + MMGBSA  + amine,-48.12,,,,
1972,,[NH3+]C[C@H](O)c1cccc(-c2cccc(C(F)(F)C(F)(F)F)c2)c1,Z3347761148,332.292,3.283000000000002,,classifier REAL + MMGBSA  + amine,-42.83,,,,
1972,,[NH3+]CC1(c2cccc(C(=O)Nc3cccc(C(F)(F)CF)c3)c2)CC1,PV-003136762018,349.37600000000003,3.2737000000000016,,classifier REAL + MMGBSA  + amine,-49.77,,,,
