Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time
,CC(SC1=NN=C(O1)C=2C=C(N=C3C=CC=CC23)C4=CC=CS4)C(=O)C5=C(N)N(C)C(=O)N(C)C5=O,C-1972-120,Z15436840,HTS,12.7,2-3 weeks
Cl.Cl.C[C@@H]1CCCN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3C)N4CCC[C@@H](O)C4)C1,CC1CCCN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3C)N4CCCC(O)C4)C1,C-1972-121,Z8740892512,sRDB,83.2,5-6 weeks
,Cl.FC=1C=CC=CC1CN(C2CCOCC2)C(=O)NCC=3C=CC=CC3CN4CCCCCC4,C-1972-122,Z8740336676,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1C[C@@H](C)CN(CC=2C=CC=CC2CNC(=O)N[C@H](C3CCC3)C=4C=CC=CC4)C1,CC1CC(C)CN(CC=2C=CC=CC2CNC(=O)NC(C3CCC3)C=4C=CC=CC4)C1,C-1972-123,Z8740894572,sRDB,83.2,5-6 weeks
Cl.ClC=1C=CC(NC(=O)NC=2C=CC=CC2[C@H]3CCOC3)=CC1CN4CCCCC4,ClC=1C=CC(NC(=O)NC=2C=CC=CC2C3CCOC3)=CC1CN4CCCCC4,C-1972-124,Z8740895903,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1CCCCN1CC=2C=CC=CC2CN3C(=O)CCN(CC=4C=CC=CC4N5CCN(CC5)C(=O)C)C3=O,CC1CCCCN1CC=2C=CC=CC2CN3C(=O)CCN(CC=4C=CC=CC4N5CCN(CC5)C(=O)C)C3=O,C-1972-125,Z8740899278,mRDB,125.2,5-6 weeks
,Cl.CC(=O)N1CCN(CC1)C=2C=CC=CC2CNC(=O)C(=O)NC=3C=CC=C(CN4CCCCC4)C3,C-1972-126,Z8740336691,sRDB,83.2,5-6 weeks
,Cl.CCN(CC=1C=CC=C(NC(=O)NC=2C=CC(CN3CCCC3)=C(C2)C(F)(F)F)C1)C(=O)C(F)(F)F,C-1972-127,Z8740336692,sRDB,83.2,5-6 weeks
,Cl.COC(=O)C1(CCC1)C=2C=CC=C(NC(=O)NC=3C=CC(Cl)=C(CN4CCCCC4)C3)C2,C-1972-128,Z8740336693,sRDB,83.2,5-6 weeks
,Cl.FC=1C=CC=C(CN(C2CCC2)C(=O)NCC=3C=CC=CC3CN4CCCCCC4)C1,C-1972-129,Z8740336694,sRDB,83.2,5-6 weeks
,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C=3C=CC=C(CN4C=CN=N4)C3,C-1972-13,Z2621742679,sRDB,83.2,5-6 weeks
,CC1=CC(C(=O)N2CCN(CC2)C(=O)NC=3C=CC=C(CN4C=CC=NC4=O)C3)=C(C)O1,C-1972-130,Z603722276,HTS,12.7,2-3 weeks
,CC1=NOC=2N=CC(=CC12)C(=O)N3CCN(CC3)C(=O)C(C=4C=CC=CC4)C=5C=CC=CC5,C-1972-131,Z289492786,HTS,12.7,2-3 weeks
,CC1CN(CC(C)O1)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC(C3=NC=CN3C)C=4C=CC=CC4F,C-1972-132,Z167572918,HTS,12.7,2-3 weeks
,NC(=O)C1CCCN(CC=2C=CC(NC(=O)C3CCN(CC3)C(=O)COC=4C=CC=CC4)=CC2)C1,C-1972-133,Z991655380,HTS,12.7,2-3 weeks
,CCCCN1N=C(C(=O)NC=2C=CC=C(C2)S(=O)(=O)N3CCCC3)C=4C=CC=CC4C1=O,C-1972-134,Z30225557,HTS,12.7,2-3 weeks
