Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time
,Cl.CC1CCN(CC=2C=CC(NC(=O)C(=O)N(CC=3C=CC=C(F)C3)C4CCC4)=CC2)CC1,C-1972-88,Z8740336624,sRDB,83.2,5-6 weeks
,CC=1C=CC2=NC(COC(=O)C3C=4C=CC=CC4OC=5C=CC=CC35)=CC(=O)N2C1,C-1972-89,Z54071732,HTS,12.7,2-3 weeks
,FC=1C=CC=2SCCC(NC(=O)C=3C=CC(NS(=O)(=O)C=4C=CC=5NC(=O)NC5C4)=CC3)C2C1,C-1972-90,Z131483750,HTS,12.7,2-3 weeks
Cl.Cl.C[C@@H]1C[C@@H](C)CN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3)N4CC(O)C4)C1,CC1CC(C)CN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3)N4CC(O)C4)C1,C-1972-91,Z8740878663,sRDB,83.2,5-6 weeks
,Cl.CCN(CC=1C=CC=C(NC(=O)NC=2C=CC(CN3CCCC3)=C(C2)C(F)(F)F)C1)C(=O)C,C-1972-92,Z8740336626,sRDB,83.2,5-6 weeks
,CC(C)CN1N=C(C(=O)NC(CN2CCCC2=O)C=3C=CC=CC3)C=4C=CC=CC4C1=O,C-1972-93,Z437056864,HTS,12.7,2-3 weeks
,CC1=CC(=O)OC=2C=C(NC(=O)N(CC3CCCO3)CC=4C=CC=NC4)C=CC12,C-1972-94,Z603291104,HTS,12.7,2-3 weeks
,FC=1C=C(C(=O)N=C2N=C3N=CC=CN3CC=4C=CC=CC24)C(F)=C(F)C1F,C-1972-95,Z56781845,HTS,12.7,2-3 weeks
Cl.C[C@@H]1C[C@@H](C)CN(CC=2C=CC=CC2CNC(=O)N(CC3CC3)CC=4C=CC=CC4F)C1,CC1CC(C)CN(CC=2C=CC=CC2CNC(=O)N(CC3CC3)CC=4C=CC=CC4F)C1,C-1972-96,Z8740881951,sRDB,83.2,5-6 weeks
,CC=1C=CC(=CC1)C2=NN=C(O2)C=3C=CC(=CC3)C(=O)NCC=4C=CC=CC4CN5CCCC5,C-1972-97,Z147088942,HTS,12.7,2-3 weeks
,CC1CCCCN1CC=2C=CC=CC2CNC(=O)C=3NC=4CCCC(=O)C4C3C,C-1972-98,Z424508008,HTS,12.7,2-3 weeks
,FC=1C=CC(=CC1)C2=CN=C(CN3CCCC3CN4C=NC=5C=CC=CC45)O2,C-1972-99,Z1523151619,HTS,12.7,2-3 weeks
